"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Max Drawdown","Max Drawdown %"
"188076","3582.50","96.00","3486.50","20","9","11","45.00","55.00","0","0.00","",""
"CLQ5","4200.00","52.00","4148.00","9","8","1","88.89","11.11","0","0.00","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L"
"20250710","91938583","B","2025-07-10 08:28:02","66.87","91938617","S","2025-07-10 08:28:15","66.87","12.830333","1","0.00","4.00","-4.00"
"20250710","91936884","S","2025-07-10 08:00:37","67.76","91938314","B","2025-07-10 08:22:15","66.89","1297.376047","1","870.00","4.00","866.00"
"20250710","91936884","S","2025-07-10 08:00:37","67.76","91936981","B","2025-07-10 08:18:16","67.20","1058.681006","1","560.00","4.00","556.00"
"20250710","91936884","S","2025-07-10 08:00:37","67.76","91936974","B","2025-07-10 08:02:43","67.40","125.893039","1","360.00","4.00","356.00"
"20250710","91936881","S","2025-07-10 08:00:32","67.77","91936887","B","2025-07-10 08:01:24","67.42","52.623608","1","350.00","4.00","346.00"
"20250710","91936881","S","2025-07-10 08:00:32","67.78","91936887","B","2025-07-10 08:01:24","67.42","52.623669","2","720.00","8.00","712.00"
"20250710","91936877","S","2025-07-10 08:00:24","67.82","91936890","B","2025-07-10 08:01:19","67.39","54.325337","3","1290.00","12.00","1278.00"
"20250710","91936870","S","2025-07-10 08:00:06","67.83","91936874","B","2025-07-10 08:00:19","67.82","13.138642","1","10.00","4.00","6.00"
"20250710","91936870","S","2025-07-10 08:00:06","67.84","91936874","B","2025-07-10 08:00:19","67.82","13.138697","2","40.00","8.00","32.00"
"ESU5","-187.50","20.00","-207.50","5","1","4","20.00","80.00","0","0.00","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L"
"20250710","91955926","B","2025-07-10 09:40:31","6310.50","91955942","S","2025-07-10 09:42:08","6312.75","97.840592","1","112.50","4.00","108.50"
"20250710","91951645","B","2025-07-10 09:39:43","6310.25","91955614","S","2025-07-10 09:40:12","6308.75","28.868433","1","-75.00","4.00","-79.00"
"20250710","91951645","B","2025-07-10 09:39:43","6310.25","91955612","S","2025-07-10 09:40:12","6308.75","28.868384","1","-75.00","4.00","-79.00"
"20250710","91951645","B","2025-07-10 09:39:43","6310.25","91955608","S","2025-07-10 09:40:12","6308.75","28.868338","1","-75.00","4.00","-79.00"
"20250710","91951645","B","2025-07-10 09:39:43","6310.25","91955604","S","2025-07-10 09:40:12","6308.75","28.868288","1","-75.00","4.00","-79.00"
"NGQ25","-430.00","24.00","-454.00","6","0","6","0.00","100.00","0","0.00","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L"
"20250710","91953995","B","2025-07-10 09:45:46","3.280","91956473","S","2025-07-10 09:47:10","3.270","84.179456","1","-100.00","4.00","-104.00"
"20250710","91953985","B","2025-07-10 09:44:24","3.284","91956476","S","2025-07-10 09:46:01","3.272","97.415538","1","-120.00","4.00","-124.00"
"20250710","91954508","B","2025-07-10 09:34:51","3.313","91954513","S","2025-07-10 09:41:24","3.304","392.736506","1","-90.00","4.00","-94.00"
"20250710","91953967","B","2025-07-10 09:31:51","3.302","91953976","S","2025-07-10 09:31:54","3.298","2.764385","1","-40.00","4.00","-44.00"
"20250710","91953960","B","2025-07-10 09:31:51","3.301","91953974","S","2025-07-10 09:31:53","3.298","2.443225","1","-30.00","4.00","-34.00"
"20250710","91953584","B","2025-07-10 09:30:11","3.322","91953587","S","2025-07-10 09:30:12","3.317","0.991571","1","-50.00","4.00","-54.00"


